pu_number,title,show_start_date,type,film_studio,production_country,director,producer,budget,box_office,refundable_support,nonrefundable_support,financing_source,ratings,genres,age_restriction
121024415,костяной томагавк,2015-12-07 12:00:00+00:00,художественный,калибер медиа компани,сша,с. крэйг залер,"даллас зонньер, скотт форт, джек хеллер",0,4467584,0,0,нет данных,6.7,"ужасы,драма,вестерн",«18+» - запрещено для детей
121024515,убей своих друзей,2015-12-09 12:00:00+00:00,художественный,"юнигрем, ол филм, олтитьюд филм интертейнмент",великобритания,оуэн харрис,"лен блаватник, грегор камерон, уилл кларк",0,5831860,0,0,нет данных,6.1,"триллер,комедия,криминал",«18+» - запрещено для детей
111021115,чемпионы: быстрее. выше. сильнее,2015-12-22 12:00:00+00:00,художественный,"ооо ""энджой мувиз""",россия,а.аксененко,"г.малков, в.поляков",90276774,168688859,0,40000000,фонд кино,7.0,"спорт,драма",«6+» - для детей старше 6 лет
111000116,"статус: ""свободен""",2016-01-13 12:00:00+00:00,художественный,"ооо ""кинодом""",россия,п.руминов,"с.ливнев, д.козловский, с.бобза",78686500,153030013,20000000,20000000,фонд кино,5.8,"комедия,мелодрама",«16+» - для детей старше 16 лет
124003915,"маша и медведь. серия ""на круги своя""",2015-11-17 12:00:00+00:00,анимационный,анимаккорд лтд,республика кипр,георгий орлов,"олег кузовков, дмитрий ловейко, марина ратина",0,0,0,0,нет данных,0.0,нет данных,«0+» - для любой зрительской аудитории
121024015,ужастики,2015-12-01 12:00:00+00:00,художественный,"коламбиа пикчерз, эльстар кэпитал, ориджинал филм, схоластик интертейнмент, сони пикчерз, вилледж роудшоу пикчерз",сша - австралия,роб леттерман,"нил х.мориц, дебора форте",0,156057948,0,0,нет данных,6.2,"фэнтези,комедия,приключения",«12+» - для детей старше 12 лет
111019615,я умею вязать,2015-11-27 12:00:00+00:00,художественный,"ооо ""белое зеркало""",россия,н.степанова при участии с.иванова,"с.кикнавелидзе, д.улюкаев",14462464,801370,0,4700000,министерство культуры,9.0,драма,«16+» - для детей старше 16 лет
124004415,"маша и медведь. серия ""в гостях у сказки""",2015-12-17 12:00:00+00:00,анимационный,анимаккорд лтд,республика кипр,андрей беляев,"олег кузовков, дмитрий ловейко, марина ратина",0,6000,0,0,нет данных,0.0,нет данных,«0+» - для любой зрительской аудитории
121025915,спасение (2015),2015-12-24 12:00:00+00:00,художественный,"твирли филмз, апертура интертейнмент, эммет/фурла филмз, оазис филмз",канада,стивен с.миллер,"адам голдворм, джордж фурла, рэндолл эмметт",0,399304,0,0,нет данных,6.3,"драма,вестерн",«18+» - запрещено для детей
111021615,тайна снежной королевы,2015-12-25 12:00:00+00:00,художественный,"ооо ""продюсерский центр ""золотой век""",россия,н.бондарчук,с.кабанова,215860000,1434072,20000000,5300000,"министерство культуры, фонд кино",7.2,"мюзикл,фэнтези,семейный",«6+» - для детей старше 6 лет
111021715,завтра утром,2015-12-28 12:00:00+00:00,художественный,"ооо ""кинофабрика""",россия,"а.майовер, д.крылова","в.рубан, а.тельнов, а.львович",50000000,51220,0,35000000,министерство культуры,5.7,"мелодрама,комедия,спорт",«12+» - для детей старше 12 лет
126003915,редкие птицы (2014),2015-12-29 12:00:00+00:00,прочие,"т.м.райвс, од бист филмз",сша - норвегия,т.м.райвс,т.м.райвс,0,0,0,0,нет данных,0.0,нет данных,«12+» - для детей старше 12 лет
121001516,затмение (2015),2016-01-20 12:00:00+00:00,художественный,"мод продуцьонес, фёрст дженерейшн филмз, филмнэйшн интертейнмент, хименоптеро, телефоника студиос",испания-канада,алехандро аменабар,"алехандро аменабар, фернандо бовайра, кристина пиовесан",0,16269205,0,0,нет данных,5.8,"триллер,драма,криминал",«18+» - запрещено для детей
111000616,софи и я,2016-01-22 12:00:00+00:00,художественный,"фгуп ""киноконцерн ""мосфильм"", ооо ""м-продакшн медиа""",россия,м.шевчук,"м.кржижевская, е.вильшанская",0,0,0,0,нет данных,3.9,"мелодрама,комедия,музыка",«12+» - для детей старше 12 лет
111000516,память осени,2016-01-22 12:00:00+00:00,художественный,"ооо ""продюсерский центр ""синема продакшн""",россия,а.соколов,"э.айнулова, м.журомская, а.соколов",70000000,58500,9000000,40000000,"министерство культуры, фонд кино",5.7,драма,«16+» - для детей старше 16 лет
121023615,охота на монстра,2015-11-27 12:00:00+00:00,художественный,йедко филмз,китай-гонконг,раман хюи,"уильям конг, чунг мэн йи, алань юйэнь",0,3256540,0,0,нет данных,6.2,"фэнтези,комедия,приключения",«12+» - для детей старше 12 лет
111019715,я-учитель,2015-12-02 12:00:00+00:00,художественный,"нп киностудия детских и юношеских фильмов ""илья муромец""",россия,с.мокрицкий,а.ковтунец,91000000,1550,0,35000000,министерство культуры,7.4,"мелодрама,комедия",«12+» - для детей старше 12 лет
121024715,любите куперов,2015-12-09 12:00:00+00:00,художественный,"си би эс филмз, граундсвелл продакшнз, имэджин интертейнмент",сша,джесси нельсон,"брайан грэйзер, майкл лондон, джесси нельсон",0,24670851,0,0,нет данных,6.4,"фэнтези,мелодрама,комедия",«16+» - для детей старше 16 лет
126003615,флоренция и галерея уффици 3d,2015-12-03 12:00:00+00:00,прочие,нэксо диджитал,италия,лука виотто,франческо инверницци,0,5350538,0,0,нет данных,8.0,документальный,«12+» - для детей старше 12 лет
121024615,на гребне волны (2015),2015-12-09 12:00:00+00:00,художественный,"уорнер бразерс, элкон интертейнмент, ди эм джи интертейнмент, эхман продакшнз, студио бабелсберг",сша - германия - кнр,эриксон кор,"ву бинг, ксяо венджь, джон макмуррик",0,388332666,0,0,нет данных,6.7,"боевик,триллер,криминал",«16+» - для детей старше 16 лет
124004215,снежная битва,2015-12-01 12:00:00+00:00,анимационный,карпедиэм фильм энд тиви,канада,"франсуа бриссон, жан-франсуа пуле",софи рой,0,20380982,0,0,нет данных,5.8,мультфильм,«6+» - для детей старше 6 лет
121024215,волна,2015-12-01 12:00:00+00:00,художественный,"фантефилм, филм и васт",норвегия,роар утхауг,"мартин сандлэнд, арье хейденстром",0,7196756,0,0,нет данных,6.4,"триллер,драма",«16+» - для детей старше 16 лет
124004115,маленький принц (2015),2015-12-01 12:00:00+00:00,анимационный,"оникс фильм, оранж студио, он интертейнмент, парамаунт анимасьон",франция,марк осборн,"алексис вонарб, дмитрий рассам, антон сумаш",0,176063513,0,0,нет данных,7.9,"мультфильм,фэнтези,драма",«6+» - для детей старше 6 лет
114003815,мульт в кино. выпуск № 21,2015-12-23 12:00:00+00:00,анимационный,"ооо ""паровоз"", зао ""аэроплан"", ооо ""киноатис"", ооо ""продюсерский центр ""рики"", ооо ""анимационная студия ""му"", ооо ""студия анимационного кино ""мельница""",россия,"а.миронов, р.верещак, а.грибков, а.соколов и др.","г.васильев, и.попов, м.мэннис, т.цыварева, в.воля, и др.",0,5223563,0,0,нет данных,0.0,нет данных,«0+» - для любой зрительской аудитории
111019515,хит,2015-11-27 12:00:00+00:00,художественный,"ооо ""дип коммьюникейшн""",россия,м.михайлова,"е.яцура, в.кузнецов",37000990,129333,0,21700000,министерство культуры,7.7,"драма,комедия",«16+» - для детей старше 16 лет
121024115,ма ма,2015-12-01 12:00:00+00:00,художественный,"бэкап медиа, ма ма пеликулас, морена филмз, мовистар +, тэ вэ е",испания - франция,хулио медем,"пенелопа крус, альваро лонгрия, хулио медем",0,2151825,0,0,нет данных,6.9,драма,«18+» - запрещено для детей
121024315,дипан,2015-12-03 12:00:00+00:00,художественный,"вай нот продакшн, паж 114, франс 2 синема, канал +, сине +, франс телевизьон, иль-де-франс, синемаж 9, имаж 5, палатен этуаль 12, индефилм 3, ля банк посталь имаж 8, кофинова 11, софисинема 11, софитивисине 2",франция,жак одиар,"паскаль кочето, жак одиар",0,355677,0,0,нет данных,6.7,"драма,криминал",«16+» - для детей старше 16 лет
